posel,ilosc_kadencji
Władysław Gałka,2
Stanisław Kociołek,2
Kazimierz Męcik,2
Józef Tejchma,2
Stanisław Klusek,2
Stanisław Choma,2
Michał Markowicz,2
Marian Jakubczak,2
Zdzisław Drewniowski,2
Adam Palczak,2
Aleksander Wyrobek,2
Kamila Kurowska,2
Jerzy Domiński,2
Stanisław Tołwiński,2
Mieczysław Stachura,2
Mieczysław Porzuczek,2
Leon Olszewski,2
Roman Rutkowski,2
Maria Szwarnowiecka,2
Zdzisław Fogielman,2
Edward Duda,2
Czesław Hudowicz,2
Mariusz Dmochowski,2
Julian Kadlof,2
Halina Karpińska,2
Andrzej Szubar,2
Franciszek Odrzywolski,2
Adela Zarzycka,2
Marian Myszka,2
Jan Kaj,2
Piotr Jaroszewicz,2
Irena Sztachelska,2
Józef Wołek,2
Ryszard Socha,2
Franciszek Grolewski,2
Teresa Morawiec,2
Józef Łaciak,2
Roman Piotrowski,2
Alojzy Czarnecki,2
Zbigniew Gertych,2
Stanisław Kozioł,2
Zenon Nawrot,2
Stanisław Ziarkiewicz,2
Anna Kochanowska,2
Piotr Pikul,2
