filename,kadencja,posel,dane Data i miejce urodzenia,dane Wykształcenie,dane Ukończona szkoła,dane Zawód,dane Lista,dane Okręg wyborczy,dane Liczba głosów,dane Ślubowanie,dane Staż parlamentarny,klub,kadencja_chronologia
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bd4464e7f5580563c125793e00398cc6.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Arkadiusz Litwiński,"31-07-1970, Szczecin",wyższe,"Uniwersytet Szczeciński, Wydział Prawa i Administracji - mgr administracji",specjalista ds. inwestycji,Platforma Obywatelska,41 Szczecin,19827,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bdff3df83ee91d17c125793e00398a05.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Iwona Guzowska,"07-02-1974, Gdańsk",średnie ogólne,Liceum Ogólnokształcące,księgowa,Platforma Obywatelska,25 Gdańsk,9534,05-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/be32a39947c83ee3c125793e00398e2d.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Alicja Olechowska,"10-02-1956, Grodzisk Mazowiecki",wyższe,"Gdańska Wyższa Szkoła Administracji, Wydział Administracji - licencjat",technik budowlany,Platforma Obywatelska,20 Warszawa,6461,05-11-2007,poseł na Sejm RP IV i V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/be8fca81791418ccc125793e00398d9a.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Wojciech Mojzesowicz,"25-06-1954, Bydgoszcz",średnie zawodowe,Państwowe Technikum Rolnicze,rolnik,Prawo i Sprawiedliwość,4 Bydgoszcz,37634,05-11-2007,"poseł na Sejm PRL X kadencji oraz na Sejm RP I, IV i V kadencji",Klub Parlamentarny Polska Jest Najważniejsza,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/be97ca6c010d59cbc125793e00399287.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Marek Wójcik,"24-03-1980, Katowice",średnie ogólne,Liceum Ogólnokształcące,student,Platforma Obywatelska,31 Katowice,8870,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/becf576014c6da06c125793e00398f3d.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Stanisława Prządka,"06-05-1943, Karczmiska",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji - mgr prawa",prawnik,Lewica i Demokraci,18 Siedlce,12099,05-11-2007,poseł na Sejm RP IV i V kadencji,Klub Poselski Sojusz Lewicy Demokratycznej,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bf62e15dc1077781c125793e00399085.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Anna Sobecka,"27-03-1951, Piotrków Kujawski",wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Chemii - mgr chemii",nauczyciel,Prawo i Sprawiedliwość,5 Toruń,15180,05-11-2007,"poseł na Sejm RP III, IV i V kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/c003328316e1cf78c125793e0039936b.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Roman Kaczor,"03-09-1956, Oława",średnie ogólne,Liceum Ogólnokształcące,przedsiębiorca prywatny,Platforma Obywatelska,3 Wrocław,3175,23-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/c061d791b4fb788dc125793e0039897b.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Szymon Stanisław Giżyński,"08-03-1956, Częstochowa",wyższe,"Uniwersytet Śąski, Wydział Filologiczny - mgr filologii polskiej",urzędnik państwowy,Prawo i Sprawiedliwość,28 Częstochowa,28531,05-11-2007,poseł na Sejm RP IV i V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/c0fcde66a72324dfc125793e00399295.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Marzena Dorota Wróbel,"15-10-1963, Radom",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Nauk Humanistycznych i Filologii Polskiej - mgr filologii polskiej",nauczyciel,Prawo i Sprawiedliwość,17 Radom,13159,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,2007
