posel,ilosc_kadencji,dane Lista
Witold Klepacz,2,Sojusz Lewicy Demokratycznej
Elżbieta Ratajczak,2,Liga Polskich Rodzin
Andrzej Markowiak,2,Platforma Obywatelska
Krzysztof Popiołek,2,Prawo i Sprawiedliwość
Agnieszka Kołacz-Leszczyńska,2,Platforma Obywatelska
Grzegorz Piechowiak,2,Prawo i Sprawiedliwość
Józef Racki,2,Polskie Stronnictwo Ludowe
Paweł Rychlik,2,Prawo i Sprawiedliwość
Marian Tomasz Goliński,2,Prawo i Sprawiedliwość
Małgorzata Wassermann,2,Prawo i Sprawiedliwość
Mirosław Michał Drzewiecki,2,Platforma Obywatelska
Jarosław Gonciarz,2,Prawo i Sprawiedliwość
Ireneusz Sekuła,2,Sojusz Lewicy Demokratycznej
Jacek Żalek,2,Platforma Obywatelska
Jan Kubik,2,Polskie Stronnictwo Ludowe
Tomasz Ławniczak,2,Prawo i Sprawiedliwość
Marcin Kierwiński,2,Platforma Obywatelska
Janina Okrągły,2,Platforma Obywatelska
Leszek Jastrzębski,2,Platforma Obywatelska
Szymon Stanisław Giżyński,2,Prawo i Sprawiedliwość
Danuta Grabowska,2,Sojusz Lewicy Demokratycznej
Ewa Drozd,2,Platforma Obywatelska
Jacek Brzezinka,2,Platforma Obywatelska
Andrzej Potocki,2,Unia Demokratyczna
Łukasz Schreiber,2,Prawo i Sprawiedliwość
Jarosław Katulski,2,Platforma Obywatelska
Stanisław Papież,2,Liga Polskich Rodzin
Bronisław Geremek,2,Unia Demokratyczna
Dariusz Olszewski,2,Prawo i Sprawiedliwość
Dorota Arciszewska-Mielewczyk,2,Prawo i Sprawiedliwość
Renata Zaremba,2,Platforma Obywatelska
Bolesław Piecha,2,Prawo i Sprawiedliwość
Aleksander Łuczak,2,Polskie Stronnictwo Ludowe
Małgorzata Golińska,2,Prawo i Sprawiedliwość
Anna Kwiecień,2,Prawo i Sprawiedliwość
Łukasz Borowiak,2,Platforma Obywatelska
Krzysztof Sońta,2,Prawo i Sprawiedliwość
Marcin Porzucek,2,Prawo i Sprawiedliwość
Marian Żenkiewicz,2,Sojusz Lewicy Demokratycznej
Piotr Müller,2,Prawo i Sprawiedliwość
Kazimierz Milner,2,Sojusz Lewicy Demokratycznej
Norbert Wojnarowski,2,Platforma Obywatelska
Maciej Wąsik,2,Prawo i Sprawiedliwość
Włodzimierz Puzyna,2,Unia Demokratyczna
Andrzej Orzechowski,2,Platforma Obywatelska
Jarosław Jagiełło,2,Prawo i Sprawiedliwość
Roman Giertych,2,Liga Polskich Rodzin
Marcin Święcicki,2,Platforma Obywatelska
Waldemar Buda,2,Prawo i Sprawiedliwość
Piotr Gadzinowski,2,Sojusz Lewicy Demokratycznej
Janusz Koza,2,Konfederacja Polski Niepodległej
Krystyna Pawłowicz,2,Prawo i Sprawiedliwość
Magdalena Gąsior-Marek,2,Platforma Obywatelska
Killion Munyama,2,Platforma Obywatelska
Jarosław Krajewski,2,Prawo i Sprawiedliwość
Piotr Pyzik,2,Prawo i Sprawiedliwość
Marek Hok,2,Platforma Obywatelska
Józef Piotr Klim,2,Platforma Obywatelska
Witold Hatka,2,Liga Polskich Rodzin
Joanna Lichocka,2,Prawo i Sprawiedliwość
Andrzej Sztorc,2,Polskie Stronnictwo Ludowe
Czesław Sobierajski,2,Prawo i Sprawiedliwość
Andrzej Walkowiak,2,Prawo i Sprawiedliwość
Grzegorz Napieralski,2,Sojusz Lewicy Demokratycznej
Waldemar Wiązowski,2,Prawo i Sprawiedliwość
Witold Firak,2,Sojusz Lewicy Demokratycznej
Kamil Bortniczuk,2,Prawo i Sprawiedliwość
Henryk Kroll,2,Mniejszość Niemiecka
Wiesław Szweda,2,Sojusz Lewicy Demokratycznej
Jan Duda,2,Prawo i Sprawiedliwość
Witold Deręgowski,2,Sojusz Lewicy Demokratycznej
Zbigniew Kozak,2,Prawo i Sprawiedliwość
Jarosław Wałęsa,2,Platforma Obywatelska
Wiesław Ciesielski,2,Sojusz Lewicy Demokratycznej
Hanna Suchocka,2,Unia Demokratyczna
Witold Gintowt-Dziewałtowski,2,Sojusz Lewicy Demokratycznej
Grzegorz Wojciechowski,2,Prawo i Sprawiedliwość
Alicja Dąbrowska,2,Platforma Obywatelska
Jerzy Żyżyński,2,Prawo i Sprawiedliwość
Zofia Wilczyńska,2,Sojusz Lewicy Demokratycznej
Artur Szałabawka,2,Prawo i Sprawiedliwość
Sławomir Skwarek,2,Prawo i Sprawiedliwość
Leszek Murzyn,2,Liga Polskich Rodzin
Maria Dmochowska,2,Unia Demokratyczna
Zbigniew Janas,2,Unia Demokratyczna
Rajmund Miller,2,Platforma Obywatelska
